#time,accel_x,accel_y,accel_z
1356.050334,2664.741391,-592.164754,-73545.167808
1356.052901,2960.823768,-444.123565,-72932.291410
1356.055469,2516.700203,-444.123565,-73391.948708
1356.058037,2516.700203,-888.247130,-73085.510509
1356.060604,3552.988522,-888.247130,-73085.510509
1356.063172,2368.659014,-296.082377,-73085.510509
1356.065739,1776.494261,-592.164754,-73085.510509
1356.068307,2664.741391,-592.164754,-73085.510509
1356.070875,2220.617826,0.000000,-72472.634111
1356.073442,2516.700203,-296.082377,-73238.729609
1356.076010,2664.741391,-444.123565,-73238.729609
1356.078577,2516.700203,-444.123565,-73391.948708
1356.081145,2220.617826,-592.164754,-72779.072310
1356.083713,3108.864956,-3997.112087,-73085.510509
1356.086280,8734.430116,3701.029710,-73851.606007
1356.088848,-3404.947333,-148.041188,-71553.319513
1356.091415,-7994.224174,-444.123565,-73391.948708
1356.093983,-592.164754,-444.123565,-75230.577904
1356.096551,-7402.059420,2368.659014,-73698.386908
1356.099118,-2368.659014,-1332.370696,-74004.825107
1356.101686,444.123565,-1480.411884,-73238.729609
1356.104253,2960.823768,444.123565,-74158.044206
1356.106821,4293.194464,-592.164754,-72625.853210
1356.109388,-888.247130,1776.494261,-71706.538613
1356.111956,-888.247130,-888.247130,-71246.881314
1356.114524,148.041188,-1332.370696,-72932.291410
1356.117091,2516.700203,0.000000,-74004.825107
1356.119659,7402.059420,-1036.288319,-75383.797003
1356.122072,4293.194464,-296.082377,-74311.263306
1356.124485,5033.400406,740.205942,-72932.291410
1356.126898,9326.594869,-296.082377,-72472.634111
1356.129312,5033.400406,-1776.494261,-72166.195912
1356.131725,8438.347739,-444.123565,-72166.195912
1356.134138,2812.782580,1776.494261,-72319.415011
1356.136551,4885.359217,-4589.276840,-72319.415011
1356.138964,10658.965565,1332.370696,-72319.415011
1356.141378,-1776.494261,296.082377,-75230.577904
1356.143791,2368.659014,-740.205942,-75537.016103
1356.146204,-7402.059420,2220.617826,-72166.195912
1356.148617,2072.576638,1332.370696,-74311.263306
1356.151030,15248.242405,-5033.400406,-72625.853210
1356.153444,7698.141797,740.205942,-71859.757712
1356.155857,5181.441594,-2220.617826,-72625.853210
