#time,accel_x,accel_y,accel_z
1223.948821,2960.823768,2960.823768,-72779.072310
1223.951275,5477.523971,3404.947333,-72472.634111
1223.953728,2072.576638,-1332.370696,-73391.948708
1223.956182,4441.235652,-1184.329507,-74004.825107
1223.958635,2220.617826,1628.453072,-72779.072310
1223.961089,1184.329507,4145.153275,-71859.757712
1223.963542,5477.523971,-296.082377,-73698.386908
1223.965995,4885.359217,-4589.276840,-74464.482406
1223.968449,3849.070898,3108.864956,-74617.701505
1223.970902,296.082377,-9918.759623,-72932.291410
1223.973356,-1184.329507,-11695.253884,-72779.072310
1223.975809,2072.576638,-2812.782580,-71246.881314
1223.978263,2220.617826,-2812.782580,-72779.072310
1223.980716,4589.276840,-1628.453072,-73851.606007
1223.983169,1628.453072,1332.370696,-74311.263306
1223.985623,2220.617826,888.247130,-74311.263306
1223.988076,1776.494261,-3552.988522,-72932.291410
1223.990530,2812.782580,-4737.318029,-72779.072310
1223.992983,1776.494261,-296.082377,-72932.291410
1223.995437,444.123565,-5921.647536,-73851.606007
1223.997890,1480.411884,-4737.318029,-73545.167808
1224.000343,5329.482782,0.000000,-72779.072310
1224.002797,-2072.576638,-11991.336260,-74924.139704
1224.005250,5921.647536,-1036.288319,-74004.825107
1224.007704,4737.318029,5181.441594,-72012.976812
1224.010157,3701.029710,-22650.301825,-73391.948708
1224.012611,12287.418637,37750.503042,-71859.757712
1224.015064,296.082377,-43376.068201,-71859.757712
1224.017557,12583.501014,28127.825796,-73698.386908
1224.020050,2960.823768,16728.654289,-70940.443115
1224.022543,-2812.782580,-29608.237680,-74158.044206
1224.025035,7846.182985,19245.354492,-71246.881314
1224.027528,-3997.112087,-17024.736666,-74158.044206
1224.030021,444.123565,-888.247130,-75690.235202
1224.032514,3256.906145,2812.782580,-72932.291410
1224.035007,1480.411884,-13915.871710,-73085.510509
1224.037500,5181.441594,5477.523971,-73391.948708
1224.039993,1036.288319,-4589.276840,-73391.948708
1224.042486,592.164754,-4441.235652,-74464.482406
1224.044979,3701.029710,-1036.288319,-72779.072310
1224.047471,1628.453072,-11695.253884,-74004.825107
1224.049964,3108.864956,-4145.153275,-73391.948708
1224.052457,2220.617826,-2220.617826,-72779.072310
1224.054950,1184.329507,-888.247130,-72779.072310
1224.057443,3849.070898,-888.247130,-72779.072310
1224.059936,5033.400406,4885.359217,-74158.044206
1224.062429,1628.453072,1184.329507,-73851.606007
1224.064922,3256.906145,3108.864956,-72319.415011
1224.067414,1628.453072,2812.782580,-72625.853210
1224.069907,3552.988522,3552.988522,-73391.948708
1224.072400,2220.617826,-6661.853478,-73851.606007
1224.074893,3997.112087,2516.700203,-73698.386908
1224.077386,3701.029710,3404.947333,-73391.948708
1224.079879,3404.947333,7994.224174,-72625.853210
1224.082372,740.205942,2960.823768,-73545.167808
1224.084865,6365.771101,4589.276840,-73545.167808
1224.087358,148.041188,444.123565,-74464.482406
1224.089850,3256.906145,-1332.370696,-74158.044206
1224.092343,296.082377,148.041188,-73085.510509
1224.094836,1628.453072,-888.247130,-73851.606007
1224.097329,592.164754,1332.370696,-74770.920605
1224.099822,1924.535449,-12583.501014,-73238.729609
1224.102315,10066.800811,16876.695478,-72625.853210
1224.104808,1332.370696,-5625.565159,-72779.072310
1224.107301,-1480.411884,-5329.482782,-73391.948708
1224.109794,6809.894666,6957.935855,-73545.167808
