#time,accel_x,accel_y,accel_z
290.401367,2516.700203,-5625.565159,-72625.853210
290.403983,9326.594869,6069.688724,-72625.853210
290.406599,-4589.276840,-10955.047942,-71553.319513
290.409214,3997.112087,-2812.782580,-72625.853210
290.411830,3997.112087,2812.782580,-73085.510509
290.414446,-5033.400406,-9326.594869,-73085.510509
290.417062,-148.041188,-444.123565,-73545.167808
290.419677,-2664.741391,-444.123565,-72779.072310
290.422293,-2220.617826,-6217.729913,-73085.510509
290.424909,5329.482782,1184.329507,-73391.948708
290.427525,-2516.700203,-7846.182985,-73238.729609
290.430140,5921.647536,-3849.070898,-72779.072310
290.432756,2960.823768,1036.288319,-71400.100414
290.435372,-1480.411884,-7994.224174,-72166.195912
290.437988,3552.988522,888.247130,-72932.291410
290.440603,-3849.070898,-9918.759623,-73238.729609
290.443219,1184.329507,2072.576638,-73698.386908
290.445835,-2368.659014,-4589.276840,-73238.729609
290.448450,1184.329507,740.205942,-72779.072310
290.451066,5477.523971,9622.677246,-73238.729609
290.453682,4441.235652,-3552.988522,-73085.510509
290.456298,9178.553681,1332.370696,-71246.881314
290.458913,6069.688724,888.247130,-72166.195912
290.461529,11695.253884,444.123565,-71706.538613
290.464145,296.082377,-3404.947333,-72319.415011
290.466761,3997.112087,1924.535449,-72932.291410
290.469251,6513.812290,6809.894666,-73238.729609
290.471740,2664.741391,-148.041188,-74004.825107
290.474230,7105.977043,888.247130,-73545.167808
290.476720,5329.482782,888.247130,-72932.291410
290.479210,2072.576638,-148.041188,-72932.291410
290.481700,1924.535449,1628.453072,-72472.634111
290.484190,4737.318029,-2220.617826,-71859.757712
290.486680,5773.606348,7105.977043,-72472.634111
290.489170,5329.482782,-2368.659014,-73851.606007
290.491660,8438.347739,7698.141797,-72779.072310
290.494150,2368.659014,5033.400406,-72012.976812
290.496639,-1924.535449,-5477.523971,-72932.291410
290.499129,6069.688724,2812.782580,-72012.976812
290.501619,-3849.070898,-5921.647536,-72932.291410
290.504109,12139.377449,5625.565159,-73698.386908
290.506599,2220.617826,-1480.411884,-74924.139704
290.509089,1924.535449,-8290.306550,-73238.729609
290.511579,16432.571912,9326.594869,-72012.976812
290.514069,2664.741391,-5033.400406,-71093.662214
290.516559,3849.070898,2072.576638,-72932.291410
290.519049,6069.688724,2812.782580,-71859.757712
290.521538,3552.988522,0.000000,-72932.291410
290.524028,6957.935855,2664.741391,-73085.510509
290.526518,7550.100608,4293.194464,-73545.167808
290.529008,6661.853478,1480.411884,-73085.510509
290.531498,3256.906145,444.123565,-73238.729609
290.533988,4885.359217,-1184.329507,-71859.757712
290.536478,8882.471304,1184.329507,-71706.538613
290.538968,3849.070898,-1184.329507,-71859.757712
290.541458,1776.494261,-1924.535449,-72779.072310
290.543947,1480.411884,4885.359217,-72932.291410
290.546437,2516.700203,-7105.977043,-73238.729609
290.548927,6069.688724,-1924.535449,-73085.510509
290.551417,296.082377,592.164754,-72779.072310
290.553907,-6069.688724,-11843.295072,-72779.072310
290.556397,-1628.453072,-2368.659014,-73085.510509
290.558887,-2072.576638,1480.411884,-72625.853210
290.561377,888.247130,-4441.235652,-73851.606007
290.563867,2664.741391,-2664.741391,-73391.948708
290.566357,2960.823768,-1924.535449,-72779.072310
290.568880,5033.400406,-296.082377,-71859.757712
290.571404,-1332.370696,-5033.400406,-71400.100414
290.573927,592.164754,-3701.029710,-72472.634111
290.576451,740.205942,-2812.782580,-72779.072310
290.578974,444.123565,-3849.070898,-73238.729609
290.581498,1924.535449,740.205942,-72472.634111
290.584021,148.041188,-2812.782580,-73238.729609
290.586545,7698.141797,3997.112087,-72932.291410
290.589068,5625.565159,3997.112087,-72932.291410
290.591592,148.041188,-1036.288319,-71859.757712
290.594115,2368.659014,2960.823768,-71706.538613
290.596639,-1332.370696,-11103.089130,-71246.881314
290.599162,592.164754,1628.453072,-74004.825107
290.601686,-148.041188,-7254.018232,-72932.291410
290.604210,296.082377,-3997.112087,-74004.825107
290.606733,-1332.370696,2072.576638,-73085.510509
290.609257,-4145.153275,-3997.112087,-73085.510509
290.611780,-888.247130,-2664.741391,-73545.167808
290.614304,-740.205942,-2664.741391,-73391.948708
290.616827,2960.823768,-1628.453072,-72779.072310
290.619351,2812.782580,-3701.029710,-72779.072310
290.621874,592.164754,740.205942,-72166.195912
290.624398,-148.041188,-5033.400406,-72319.415011
290.626921,-2220.617826,-5329.482782,-72779.072310
290.629445,1628.453072,-2072.576638,-72932.291410
290.631968,444.123565,-1184.329507,-73238.729609
290.634492,-3997.112087,-3701.029710,-73238.729609
290.637015,4737.318029,5921.647536,-74158.044206
290.639539,4737.318029,2664.741391,-73391.948708
290.642063,5181.441594,-3256.906145,-72012.976812
290.644586,11695.253884,7105.977043,-72319.415011
290.647110,3701.029710,-888.247130,-71859.757712
290.649633,5625.565159,-5773.606348,-71246.881314
290.652157,7698.141797,4885.359217,-73085.510509
290.654680,3256.906145,-1776.494261,-72472.634111
290.657204,9918.759623,6513.812290,-74158.044206
290.659727,3552.988522,3256.906145,-73545.167808
290.662251,1480.411884,-592.164754,-73851.606007
290.664774,6365.771101,2368.659014,-73085.510509
290.667298,1332.370696,-296.082377,-72932.291410
290.669846,3701.029710,-3552.988522,-72472.634111
290.672393,6661.853478,3404.947333,-72625.853210
290.674941,3552.988522,-4145.153275,-73085.510509
290.677489,11399.171507,6217.729913,-72779.072310
290.680037,4589.276840,888.247130,-72779.072310
290.682585,2368.659014,-740.205942,-72012.976812
290.685133,2368.659014,1480.411884,-72319.415011
290.687680,1628.453072,592.164754,-73851.606007
290.690228,9474.636058,2072.576638,-72779.072310
290.692776,5773.606348,2516.700203,-73545.167808
290.695324,6217.729913,740.205942,-72932.291410
290.697872,9178.553681,4145.153275,-72779.072310
290.700419,2220.617826,-3256.906145,-71706.538613
290.702967,4737.318029,0.000000,-72012.976812
290.705515,6513.812290,3108.864956,-72166.195912
290.708063,2368.659014,2960.823768,-73851.606007
290.710611,10510.924376,5329.482782,-73238.729609
290.713159,6513.812290,-296.082377,-74770.920605
290.715706,6069.688724,-1628.453072,-73545.167808
290.718254,6957.935855,1332.370696,-72779.072310
290.720802,1480.411884,-1628.453072,-71706.538613
290.723350,5477.523971,740.205942,-72166.195912
290.725898,6513.812290,1184.329507,-72012.976812
290.728445,444.123565,2368.659014,-72625.853210
290.730993,4885.359217,-3701.029710,-73391.948708
290.733541,3552.988522,-5033.400406,-73545.167808
290.736089,-3256.906145,-2072.576638,-72472.634111
290.738637,-2072.576638,-2220.617826,-72625.853210
290.741185,-4737.318029,-6957.935855,-71859.757712
290.743732,-1924.535449,888.247130,-73698.386908
290.746280,1628.453072,-1036.288319,-73851.606007
290.748828,1628.453072,-5477.523971,-73698.386908
290.751376,4589.276840,-740.205942,-73391.948708
290.753924,740.205942,-3849.070898,-72166.195912
290.756472,1480.411884,-4145.153275,-70940.443115
290.759019,3108.864956,2368.659014,-71553.319513
290.761567,-4441.235652,-8438.347739,-72472.634111
290.764115,444.123565,-2220.617826,-73851.606007
290.766663,592.164754,-444.123565,-74464.482406
290.769211,-1036.288319,-7550.100608,-72472.634111
290.771773,8290.306550,7105.977043,-73085.510509
290.774335,-2812.782580,-5033.400406,-72472.634111
290.776897,1332.370696,1036.288319,-72932.291410
