#time,accel_x,accel_y,accel_z
419.671284,-2368.659014,8734.430116,-73391.948708
419.673816,4145.153275,-3256.906145,-74464.482406
419.676349,-1332.370696,7254.018232,-73545.167808
419.678881,1628.453072,-2812.782580,-72625.853210
419.681414,888.247130,2072.576638,-72779.072310
419.683947,-592.164754,4441.235652,-73085.510509
419.686479,740.205942,-2072.576638,-73391.948708
419.689012,4737.318029,2220.617826,-73545.167808
419.691545,3552.988522,-1480.411884,-74311.263306
419.694077,-1628.453072,5181.441594,-72319.415011
419.696610,296.082377,-2072.576638,-72166.195912
419.699143,2960.823768,-444.123565,-72932.291410
419.701675,5773.606348,-148.041188,-73698.386908
419.704208,9030.512492,-13027.624579,-73391.948708
419.706741,6661.853478,-2516.700203,-73391.948708
419.709273,10214.842000,-3849.070898,-72932.291410
419.711806,4885.359217,-2072.576638,-72166.195912
419.714338,2368.659014,2072.576638,-71859.757712
419.716871,2960.823768,-3404.947333,-72625.853210
419.719404,2220.617826,296.082377,-73851.606007
419.721936,2812.782580,-4441.235652,-74464.482406
419.724469,7994.224174,-5181.441594,-73545.167808
419.727002,6809.894666,-592.164754,-72932.291410
419.729534,3849.070898,-1776.494261,-73085.510509
419.732067,4737.318029,-1332.370696,-73238.729609
419.734600,6809.894666,-5625.565159,-72779.072310
419.737132,3997.112087,-1184.329507,-71553.319513
419.739665,2664.741391,2812.782580,-72779.072310
419.742197,2664.741391,3701.029710,-73391.948708
419.744730,3552.988522,-4737.318029,-72625.853210
419.747263,7698.141797,888.247130,-72625.853210
419.749795,8290.306550,-7846.182985,-73851.606007
419.752328,2516.700203,888.247130,-74004.825107
419.754861,5477.523971,-4737.318029,-73238.729609
419.757393,5773.606348,-5477.523971,-72012.976812
419.759935,7105.977043,3701.029710,-72012.976812
419.762476,7698.141797,-2960.823768,-72932.291410
419.765017,6217.729913,-5329.482782,-73545.167808
419.767558,4885.359217,-1036.288319,-73085.510509
419.770100,4885.359217,-7550.100608,-73698.386908
419.772641,4441.235652,-888.247130,-72779.072310
419.775182,3256.906145,592.164754,-74158.044206
419.777724,1776.494261,-1480.411884,-72779.072310
419.780265,4293.194464,-1184.329507,-73085.510509
419.782806,7550.100608,-7105.977043,-73851.606007
419.785348,5329.482782,-4589.276840,-72932.291410
419.787889,6069.688724,-4441.235652,-72472.634111
419.790430,2220.617826,-1036.288319,-71859.757712
